n,delta,p,corr_p
10000,125,0.0,0.0001
10000,125,0.0,0.0001
10000,125,0.0,0.0001
10000,125,0.0,0.0001
10000,125,0.0,0.0001
100000,125,0.0,1e-05
100000,125,0.0,1e-05
100000,125,0.0,1e-05
100000,125,0.0,1e-05
100000,125,0.0,1e-05
100000,125,0.0,1e-05
100000,125,0.0,1e-05
100000,125,0.0,1e-05
100000,125,0.0,1e-05
100000,125,0.0,1e-05
100,130,0.0,0.01
100,130,0.0,0.01
100,130,0.0,0.01
100,130,0.0,0.01
100,130,0.0,0.01
100,130,0.0,0.01
100,130,0.0,0.01
100,130,0.0,0.01
100,130,0.0,0.01
100,130,0.0,0.01
1000,130,0.0,0.001
1000,130,0.0,0.001
1000,130,0.0,0.001
1000,130,0.0,0.001
1000,130,0.0,0.001
1000,130,0.0,0.001
1000,130,0.0,0.001
1000,130,0.0,0.001
1000,130,0.0,0.001
1000,130,0.0,0.001
10000,130,0.0,0.0001
10000,130,0.0,0.0001
10000,130,0.0,0.0001
10000,130,0.0,0.0001
10000,130,0.0,0.0001
10000,130,0.0,0.0001
10000,130,0.0,0.0001
10000,130,0.0,0.0001
10000,130,0.0,0.0001
10000,130,0.0,0.0001
100000,130,0.0,1e-05
100000,130,0.0,1e-05
100000,130,0.0,1e-05
100000,130,1e-05,1e-05
100000,130,0.0,1e-05
100000,130,0.0,1e-05
100000,130,1e-05,1e-05
100000,130,1e-05,1e-05
100000,130,0.0,1e-05
100000,130,0.0,1e-05
100,135,0.0,0.01
100,135,0.0,0.01
100,135,0.0,0.01
100,135,0.0,0.01
100,135,0.0,0.01
100,135,0.0,0.01
100,135,0.0,0.01
100,135,0.0,0.01
100,135,0.0,0.01
100,135,0.0,0.01
1000,135,0.0,0.001
1000,135,0.0,0.001
1000,135,0.0,0.001
1000,135,0.0,0.001
1000,135,0.0,0.001
1000,135,0.0,0.001
1000,135,0.0,0.001
1000,135,0.0,0.001
1000,135,0.0,0.001
1000,135,0.0,0.001
10000,135,0.0,0.0001
10000,135,0.0,0.0001
10000,135,0.0,0.0001
10000,135,0.0,0.0001
10000,135,0.0,0.0001
10000,135,0.0,0.0001
10000,135,0.0,0.0001
10000,135,0.0,0.0001
10000,135,0.0,0.0001
10000,135,0.0,0.0001
100000,135,0.0,1e-05
100000,135,0.0,1e-05
100000,135,0.0,1e-05
100000,135,0.0,1e-05
100000,135,0.0,1e-05
100000,135,0.0,1e-05
100000,135,0.0,1e-05
100000,135,0.0,1e-05
100000,135,0.0,1e-05
100000,135,0.0,1e-05
100,140,0.0,0.01
100,140,0.0,0.01
100,140,0.0,0.01
100,140,0.0,0.01
100,140,0.0,0.01
100,140,0.0,0.01
100,140,0.0,0.01
100,140,0.0,0.01
100,140,0.0,0.01
100,140,0.0,0.01
1000,140,0.0,0.001
1000,140,0.0,0.001
1000,140,0.0,0.001
1000,140,0.0,0.001
1000,140,0.0,0.001
1000,140,0.0,0.001
1000,140,0.0,0.001
1000,140,0.0,0.001
1000,140,0.0,0.001
1000,140,0.0,0.001
10000,140,0.0,0.0001
10000,140,0.0,0.0001
10000,140,0.0,0.0001
10000,140,0.0,0.0001
10000,140,0.0,0.0001
10000,140,0.0,0.0001
10000,140,0.0,0.0001
10000,140,0.0,0.0001
10000,140,0.0,0.0001
10000,140,0.0,0.0001
100000,140,0.0,1e-05
100000,140,0.0,1e-05
100000,140,0.0,1e-05
100000,140,0.0,1e-05
100000,140,0.0,1e-05
100000,140,0.0,1e-05
100000,140,0.0,1e-05
100000,140,0.0,1e-05
100000,140,0.0,1e-05
100000,140,0.0,1e-05
100,145,0.0,0.01
100,145,0.0,0.01
100,145,0.0,0.01
100,145,0.0,0.01
100,145,0.0,0.01
100,145,0.0,0.01
100,145,0.0,0.01
100,145,0.0,0.01
100,145,0.0,0.01
100,145,0.0,0.01
1000,145,0.0,0.001
1000,145,0.0,0.001
1000,145,0.0,0.001
1000,145,0.0,0.001
1000,145,0.0,0.001
1000,145,0.0,0.001
1000,145,0.0,0.001
1000,145,0.0,0.001
1000,145,0.0,0.001
1000,145,0.0,0.001
10000,145,0.0,0.0001
10000,145,0.0,0.0001
10000,145,0.0,0.0001
10000,145,0.0,0.0001
10000,145,0.0,0.0001
10000,145,0.0001,0.0001
10000,145,0.0,0.0001
10000,145,0.0,0.0001
10000,145,0.0,0.0001
10000,145,0.0,0.0001
100000,145,3e-05,3e-05
100000,145,4e-05,4e-05
100000,145,3e-05,3e-05
100000,145,2e-05,2e-05
100000,145,0.0,1e-05
100000,145,2e-05,2e-05
100000,145,0.0,1e-05
100000,145,2e-05,2e-05
100000,145,0.0,1e-05
100000,145,0.0,1e-05
100,150,0.0,0.01
100,150,0.0,0.01
100,150,0.0,0.01
100,150,0.0,0.01
100,150,0.0,0.01
100,150,0.0,0.01
100,150,0.0,0.01
100,150,0.0,0.01
100,150,0.0,0.01
100,150,0.0,0.01
1000,150,0.0,0.001
1000,150,0.0,0.001
1000,150,0.0,0.001
1000,150,0.0,0.001
1000,150,0.0,0.001
1000,150,0.0,0.001
1000,150,0.0,0.001
1000,150,0.0,0.001
1000,150,0.0,0.001
1000,150,0.0,0.001
10000,150,0.0,0.0001
10000,150,0.0,0.0001
10000,150,0.0,0.0001
10000,150,0.0,0.0001
10000,150,0.0,0.0001
10000,150,0.0,0.0001
10000,150,0.0,0.0001
10000,150,0.0,0.0001
10000,150,0.0,0.0001
10000,150,0.0,0.0001
100000,150,0.0,1e-05
100000,150,0.0,1e-05
100000,150,0.0,1e-05
100000,150,0.0,1e-05
100000,150,0.0,1e-05
100000,150,0.0,1e-05
100000,150,0.0,1e-05
100000,150,0.0,1e-05
100000,150,0.0,1e-05
100000,150,0.0,1e-05
100,155,0.0,0.01
100,155,0.0,0.01
100,155,0.0,0.01
100,155,0.0,0.01
100,155,0.0,0.01
100,155,0.0,0.01
100,155,0.0,0.01
100,155,0.0,0.01
100,155,0.0,0.01
100,155,0.0,0.01
1000,155,0.0,0.001
1000,155,0.0,0.001
1000,155,0.0,0.001
1000,155,0.0,0.001
1000,155,0.0,0.001
1000,155,0.0,0.001
1000,155,0.0,0.001
1000,155,0.0,0.001
1000,155,0.0,0.001
1000,155,0.0,0.001
10000,155,0.0,0.0001
10000,155,0.0,0.0001
10000,155,0.0,0.0001
10000,155,0.0,0.0001
10000,155,0.0,0.0001
10000,155,0.0,0.0001
10000,155,0.0,0.0001
10000,155,0.0,0.0001
10000,155,0.0,0.0001
10000,155,0.0,0.0001
100000,155,0.0,1e-05
100000,155,0.0,1e-05
100000,155,0.0,1e-05
100000,155,0.0,1e-05
100000,155,0.0,1e-05
100000,155,0.0,1e-05
100000,155,0.0,1e-05
100000,155,0.0,1e-05
100000,155,0.0,1e-05
100000,155,0.0,1e-05
100,160,0.0,0.01
100,160,0.0,0.01
100,160,0.0,0.01
100,160,0.0,0.01
100,160,0.0,0.01
100,160,0.0,0.01
100,160,0.0,0.01
100,160,0.0,0.01
100,160,0.0,0.01
100,160,0.0,0.01
1000,160,0.0,0.001
1000,160,0.0,0.001
1000,160,0.0,0.001
1000,160,0.0,0.001
1000,160,0.0,0.001
1000,160,0.0,0.001
1000,160,0.0,0.001
1000,160,0.0,0.001
1000,160,0.0,0.001
1000,160,0.0,0.001
10000,160,0.0,0.0001
10000,160,0.0,0.0001
10000,160,0.0,0.0001
10000,160,0.0,0.0001
10000,160,0.0,0.0001
10000,160,0.0,0.0001
10000,160,0.0,0.0001
10000,160,0.0,0.0001
10000,160,0.0,0.0001
10000,160,0.0,0.0001
100000,160,0.0,1e-05
100000,160,0.0,1e-05
100000,160,0.0,1e-05
100000,160,0.0,1e-05
100000,160,0.0,1e-05
100000,160,0.0,1e-05
100000,160,0.0,1e-05
100000,160,0.0,1e-05
100000,160,0.0,1e-05
100000,160,0.0,1e-05
100,165,0.0,0.01
100,165,0.0,0.01
100,165,0.0,0.01
100,165,0.0,0.01
100,165,0.0,0.01
100,165,0.0,0.01
100,165,0.0,0.01
100,165,0.0,0.01
100,165,0.0,0.01
100,165,0.0,0.01
1000,165,0.0,0.001
1000,165,0.0,0.001
1000,165,0.0,0.001
1000,165,0.0,0.001
1000,165,0.0,0.001
1000,165,0.0,0.001
1000,165,0.0,0.001
1000,165,0.0,0.001
1000,165,0.0,0.001
1000,165,0.0,0.001
10000,165,0.0,0.0001
10000,165,0.0,0.0001
10000,165,0.0,0.0001
10000,165,0.0,0.0001
10000,165,0.0,0.0001
10000,165,0.0,0.0001
10000,165,0.0,0.0001
10000,165,0.0,0.0001
10000,165,0.0,0.0001
10000,165,0.0,0.0001
100000,165,0.0,1e-05
100000,165,0.0,1e-05
100000,165,0.0,1e-05
100000,165,0.0,1e-05
100000,165,0.0,1e-05
100000,165,0.0,1e-05
100000,165,0.0,1e-05
100000,165,0.0,1e-05
100000,165,0.0,1e-05
100000,165,0.0,1e-05
100,170,0.0,0.01
100,170,0.0,0.01
100,170,0.0,0.01
100,170,0.0,0.01
100,170,0.0,0.01
100,170,0.0,0.01
100,170,0.0,0.01
100,170,0.0,0.01
100,170,0.0,0.01
100,170,0.0,0.01
1000,170,0.0,0.001
1000,170,0.0,0.001
1000,170,0.0,0.001
1000,170,0.0,0.001
1000,170,0.0,0.001
1000,170,0.0,0.001
1000,170,0.0,0.001
1000,170,0.0,0.001
1000,170,0.0,0.001
1000,170,0.0,0.001
10000,170,0.0,0.0001
10000,170,0.0,0.0001
10000,170,0.0,0.0001
10000,170,0.0,0.0001
10000,170,0.0,0.0001
10000,170,0.0,0.0001
10000,170,0.0,0.0001
10000,170,0.0,0.0001
10000,170,0.0,0.0001
10000,170,0.0,0.0001
100000,170,0.0,1e-05
100000,170,0.0,1e-05
100000,170,0.0,1e-05
100000,170,0.0,1e-05
100000,170,0.0,1e-05
100000,170,0.0,1e-05
100000,170,0.0,1e-05
100000,170,0.0,1e-05
100000,170,0.0,1e-05
100000,170,0.0,1e-05
100,175,0.0,0.01
100,175,0.0,0.01
100,175,0.0,0.01
100,175,0.0,0.01
100,175,0.0,0.01
100,175,0.0,0.01
100,175,0.0,0.01
100,175,0.0,0.01
100,175,0.0,0.01
100,175,0.0,0.01
1000,175,0.0,0.001
1000,175,0.0,0.001
1000,175,0.0,0.001
1000,175,0.0,0.001
1000,175,0.0,0.001
1000,175,0.0,0.001
1000,175,0.0,0.001
1000,175,0.0,0.001
1000,175,0.0,0.001
1000,175,0.0,0.001
10000,175,0.0,0.0001
10000,175,0.0,0.0001
10000,175,0.0,0.0001
10000,175,0.0,0.0001
10000,175,0.0,0.0001
10000,175,0.0,0.0001
10000,175,0.0,0.0001
10000,175,0.0,0.0001
10000,175,0.0,0.0001
10000,175,0.0,0.0001
100000,175,0.0,1e-05
100000,175,0.0,1e-05
100000,175,0.0,1e-05
100000,175,0.0,1e-05
100000,175,0.0,1e-05
100000,175,0.0,1e-05
100000,175,0.0,1e-05
100000,175,0.0,1e-05
100000,175,0.0,1e-05
100000,175,0.0,1e-05
100,180,0.0,0.01
100,180,0.0,0.01
100,180,0.0,0.01
100,180,0.0,0.01
100,180,0.0,0.01
100,180,0.0,0.01
100,180,0.0,0.01
100,180,0.0,0.01
100,180,0.0,0.01
100,180,0.0,0.01
1000,180,0.0,0.001
1000,180,0.0,0.001
1000,180,0.0,0.001
1000,180,0.0,0.001
1000,180,0.0,0.001
1000,180,0.0,0.001
1000,180,0.0,0.001
1000,180,0.0,0.001
1000,180,0.0,0.001
1000,180,0.0,0.001
10000,180,0.0,0.0001
10000,180,0.0,0.0001
10000,180,0.0,0.0001
10000,180,0.0,0.0001
10000,180,0.0,0.0001
10000,180,0.0,0.0001
10000,180,0.0,0.0001
10000,180,0.0,0.0001
10000,180,0.0,0.0001
10000,180,0.0,0.0001
100000,180,0.0,1e-05
100000,180,0.0,1e-05
100000,180,0.0,1e-05
100000,180,0.0,1e-05
100000,180,0.0,1e-05
100000,180,0.0,1e-05
100000,180,0.0,1e-05
100000,180,0.0,1e-05
100000,180,0.0,1e-05
100000,180,0.0,1e-05
100,185,0.0,0.01
100,185,0.0,0.01
100,185,0.0,0.01
100,185,0.0,0.01
100,185,0.0,0.01
100,185,0.0,0.01
100,185,0.0,0.01
100,185,0.0,0.01
100,185,0.0,0.01
100,185,0.0,0.01
1000,185,0.0,0.001
1000,185,0.0,0.001
1000,185,0.0,0.001
1000,185,0.0,0.001
1000,185,0.0,0.001
1000,185,0.0,0.001
1000,185,0.0,0.001
1000,185,0.0,0.001
1000,185,0.0,0.001
1000,185,0.0,0.001
10000,185,0.0,0.0001
10000,185,0.0,0.0001
10000,185,0.0,0.0001
10000,185,0.0,0.0001
10000,185,0.0,0.0001
10000,185,0.0,0.0001
10000,185,0.0,0.0001
10000,185,0.0,0.0001
10000,185,0.0,0.0001
10000,185,0.0,0.0001
100000,185,0.0,1e-05
100000,185,0.0,1e-05
100000,185,0.0,1e-05
100000,185,0.0,1e-05
100000,185,0.0,1e-05
100000,185,0.0,1e-05
100000,185,0.0,1e-05
100000,185,0.0,1e-05
100000,185,0.0,1e-05
100000,185,0.0,1e-05
100,190,0.0,0.01
100,190,0.0,0.01
100,190,0.0,0.01
100,190,0.0,0.01
100,190,0.0,0.01
100,190,0.0,0.01
100,190,0.0,0.01
100,190,0.0,0.01
100,190,0.0,0.01
100,190,0.0,0.01
1000,190,0.0,0.001
1000,190,0.0,0.001
1000,190,0.0,0.001
1000,190,0.0,0.001
1000,190,0.0,0.001
1000,190,0.0,0.001
1000,190,0.0,0.001
1000,190,0.0,0.001
1000,190,0.0,0.001
1000,190,0.0,0.001
10000,190,0.0,0.0001
10000,190,0.0,0.0001
10000,190,0.0,0.0001
10000,190,0.0,0.0001
10000,190,0.0,0.0001
10000,190,0.0,0.0001
10000,190,0.0,0.0001
10000,190,0.0,0.0001
10000,190,0.0,0.0001
10000,190,0.0,0.0001
100000,190,0.0,1e-05
100000,190,0.0,1e-05
100000,190,0.0,1e-05
100000,190,0.0,1e-05
100000,190,0.0,1e-05
100000,190,0.0,1e-05
100000,190,0.0,1e-05
100000,190,0.0,1e-05
100000,190,0.0,1e-05
100000,190,0.0,1e-05
100,195,0.0,0.01
100,195,0.0,0.01
100,195,0.0,0.01
100,195,0.0,0.01
100,195,0.0,0.01
100,195,0.0,0.01
100,195,0.0,0.01
100,195,0.0,0.01
100,195,0.0,0.01
100,195,0.0,0.01
1000,195,0.0,0.001
1000,195,0.0,0.001
1000,195,0.0,0.001
1000,195,0.0,0.001
1000,195,0.0,0.001
1000,195,0.0,0.001
1000,195,0.0,0.001
1000,195,0.0,0.001
1000,195,0.0,0.001
1000,195,0.0,0.001
10000,195,0.0,0.0001
10000,195,0.0,0.0001
10000,195,0.0,0.0001
10000,195,0.0,0.0001
10000,195,0.0,0.0001
10000,195,0.0,0.0001
10000,195,0.0,0.0001
10000,195,0.0,0.0001
10000,195,0.0,0.0001
10000,195,0.0,0.0001
100000,195,0.0,1e-05
100000,195,0.0,1e-05
100000,195,0.0,1e-05
100000,195,0.0,1e-05
100000,195,0.0,1e-05
100000,195,0.0,1e-05
100000,195,0.0,1e-05
100000,195,0.0,1e-05
100000,195,0.0,1e-05
100000,195,0.0,1e-05
100,200,0.0,0.01
100,200,0.0,0.01
100,200,0.0,0.01
100,200,0.0,0.01
100,200,0.0,0.01
100,200,0.0,0.01
100,200,0.0,0.01
100,200,0.0,0.01
100,200,0.0,0.01
100,200,0.0,0.01
1000,200,0.0,0.001
1000,200,0.0,0.001
1000,200,0.0,0.001
1000,200,0.0,0.001
1000,200,0.0,0.001
1000,200,0.0,0.001
1000,200,0.0,0.001
1000,200,0.0,0.001
1000,200,0.0,0.001
1000,200,0.0,0.001
10000,200,0.0,0.0001
10000,200,0.0,0.0001
10000,200,0.0,0.0001
10000,200,0.0,0.0001
10000,200,0.0,0.0001
10000,200,0.0,0.0001
10000,200,0.0,0.0001
10000,200,0.0,0.0001
10000,200,0.0,0.0001
10000,200,0.0,0.0001
100000,200,0.0,1e-05
100000,200,0.0,1e-05
100000,200,0.0,1e-05
100000,200,0.0,1e-05
100000,200,0.0,1e-05
100000,200,0.0,1e-05
100000,200,0.0,1e-05
100000,200,0.0,1e-05
100000,200,0.0,1e-05
100000,200,0.0,1e-05
100,205,0.0,0.01
100,205,0.0,0.01
100,205,0.0,0.01
100,205,0.0,0.01
100,205,0.0,0.01
100,205,0.0,0.01
100,205,0.0,0.01
100,205,0.0,0.01
100,205,0.0,0.01
100,205,0.0,0.01
1000,205,0.0,0.001
1000,205,0.0,0.001
1000,205,0.0,0.001
1000,205,0.0,0.001
1000,205,0.0,0.001
1000,205,0.0,0.001
1000,205,0.0,0.001
1000,205,0.0,0.001
1000,205,0.0,0.001
1000,205,0.0,0.001
10000,205,0.0,0.0001
10000,205,0.0,0.0001
10000,205,0.0,0.0001
10000,205,0.0,0.0001
10000,205,0.0,0.0001
10000,205,0.0,0.0001
10000,205,0.0,0.0001
10000,205,0.0,0.0001
10000,205,0.0,0.0001
10000,205,0.0,0.0001
100000,205,0.0,1e-05
100000,205,0.0,1e-05
100000,205,0.0,1e-05
100000,205,0.0,1e-05
100000,205,0.0,1e-05
100000,205,0.0,1e-05
100000,205,0.0,1e-05
100000,205,0.0,1e-05
100000,205,0.0,1e-05
100000,205,0.0,1e-05
100,210,0.0,0.01
100,210,0.0,0.01
100,210,0.0,0.01
100,210,0.0,0.01
100,210,0.0,0.01
100,210,0.0,0.01
100,210,0.0,0.01
100,210,0.0,0.01
100,210,0.0,0.01
100,210,0.0,0.01
1000,210,0.0,0.001
1000,210,0.0,0.001
1000,210,0.0,0.001
1000,210,0.0,0.001
1000,210,0.0,0.001
1000,210,0.0,0.001
1000,210,0.0,0.001
1000,210,0.0,0.001
1000,210,0.0,0.001
1000,210,0.0,0.001
10000,210,0.0,0.0001
10000,210,0.0,0.0001
10000,210,0.0,0.0001
10000,210,0.0,0.0001
10000,210,0.0,0.0001
10000,210,0.0,0.0001
10000,210,0.0,0.0001
10000,210,0.0,0.0001
10000,210,0.0,0.0001
10000,210,0.0,0.0001
100000,210,0.0,1e-05
100000,210,0.0,1e-05
100000,210,0.0,1e-05
100000,210,0.0,1e-05
100000,210,0.0,1e-05
100000,210,0.0,1e-05
100000,210,0.0,1e-05
100000,210,0.0,1e-05
100000,210,0.0,1e-05
100000,210,0.0,1e-05
100,215,0.0,0.01
100,215,0.0,0.01
100,215,0.0,0.01
100,215,0.0,0.01
100,215,0.0,0.01
100,215,0.0,0.01
100,215,0.0,0.01
100,215,0.0,0.01
100,215,0.0,0.01
100,215,0.0,0.01
1000,215,0.0,0.001
1000,215,0.0,0.001
1000,215,0.0,0.001
1000,215,0.0,0.001
1000,215,0.0,0.001
1000,215,0.0,0.001
1000,215,0.0,0.001
1000,215,0.0,0.001
1000,215,0.0,0.001
1000,215,0.0,0.001
10000,215,0.0,0.0001
10000,215,0.0,0.0001
10000,215,0.0,0.0001
10000,215,0.0,0.0001
10000,215,0.0,0.0001
10000,215,0.0,0.0001
10000,215,0.0,0.0001
10000,215,0.0,0.0001
10000,215,0.0,0.0001
10000,215,0.0,0.0001
100000,215,0.0,1e-05
100000,215,0.0,1e-05
100000,215,0.0,1e-05
100000,215,0.0,1e-05
100000,215,0.0,1e-05
100000,215,0.0,1e-05
100000,215,0.0,1e-05
100000,215,0.0,1e-05
100000,215,0.0,1e-05
100000,215,0.0,1e-05
100,220,0.0,0.01
100,220,0.0,0.01
100,220,0.0,0.01
100,220,0.0,0.01
100,220,0.0,0.01
100,220,0.0,0.01
100,220,0.0,0.01
100,220,0.0,0.01
100,220,0.0,0.01
100,220,0.0,0.01
1000,220,0.0,0.001
1000,220,0.0,0.001
1000,220,0.0,0.001
1000,220,0.0,0.001
1000,220,0.0,0.001
1000,220,0.0,0.001
1000,220,0.0,0.001
1000,220,0.0,0.001
1000,220,0.0,0.001
1000,220,0.0,0.001
10000,220,0.0,0.0001
10000,220,0.0,0.0001
10000,220,0.0,0.0001
10000,220,0.0,0.0001
10000,220,0.0,0.0001
10000,220,0.0,0.0001
10000,220,0.0,0.0001
10000,220,0.0,0.0001
10000,220,0.0,0.0001
10000,220,0.0,0.0001
100000,220,0.0,1e-05
100000,220,0.0,1e-05
100000,220,0.0,1e-05
100000,220,0.0,1e-05
100000,220,0.0,1e-05
100000,220,0.0,1e-05
100000,220,0.0,1e-05
100000,220,0.0,1e-05
100000,220,0.0,1e-05
100000,220,0.0,1e-05
100,225,0.0,0.01
100,225,0.0,0.01
100,225,0.0,0.01
100,225,0.0,0.01
100,225,0.0,0.01
100,225,0.0,0.01
100,225,0.0,0.01
100,225,0.0,0.01
100,225,0.0,0.01
100,225,0.0,0.01
1000,225,0.0,0.001
1000,225,0.0,0.001
1000,225,0.0,0.001
1000,225,0.0,0.001
1000,225,0.0,0.001
1000,225,0.0,0.001
1000,225,0.0,0.001
1000,225,0.0,0.001
1000,225,0.0,0.001
1000,225,0.0,0.001
10000,225,0.0,0.0001
10000,225,0.0,0.0001
10000,225,0.0,0.0001
10000,225,0.0,0.0001
10000,225,0.0,0.0001
10000,225,0.0,0.0001
10000,225,0.0,0.0001
10000,225,0.0,0.0001
10000,225,0.0,0.0001
10000,225,0.0,0.0001
100000,225,0.0,1e-05
100000,225,0.0,1e-05
100000,225,0.0,1e-05
100000,225,0.0,1e-05
100000,225,0.0,1e-05
100000,225,0.0,1e-05
100000,225,0.0,1e-05
100000,225,0.0,1e-05
100000,225,0.0,1e-05
100000,225,0.0,1e-05
100,230,0.0,0.01
100,230,0.0,0.01
100,230,0.0,0.01
100,230,0.0,0.01
100,230,0.0,0.01
100,230,0.0,0.01
100,230,0.0,0.01
100,230,0.0,0.01
100,230,0.0,0.01
100,230,0.0,0.01
1000,230,0.0,0.001
1000,230,0.0,0.001
1000,230,0.0,0.001
1000,230,0.0,0.001
1000,230,0.0,0.001
1000,230,0.0,0.001
1000,230,0.0,0.001
1000,230,0.0,0.001
1000,230,0.0,0.001
1000,230,0.0,0.001
10000,230,0.0,0.0001
10000,230,0.0,0.0001
10000,230,0.0,0.0001
10000,230,0.0,0.0001
10000,230,0.0,0.0001
10000,230,0.0,0.0001
10000,230,0.0,0.0001
10000,230,0.0,0.0001
10000,230,0.0,0.0001
10000,230,0.0,0.0001
100000,230,0.0,1e-05
100000,230,0.0,1e-05
100000,230,0.0,1e-05
100000,230,0.0,1e-05
100000,230,0.0,1e-05
100000,230,0.0,1e-05
100000,230,0.0,1e-05
100000,230,0.0,1e-05
100000,230,0.0,1e-05
100000,230,0.0,1e-05
100,235,0.0,0.01
100,235,0.0,0.01
100,235,0.0,0.01
100,235,0.0,0.01
100,235,0.0,0.01
100,235,0.0,0.01
100,235,0.0,0.01
100,235,0.0,0.01
100,235,0.0,0.01
100,235,0.0,0.01
1000,235,0.0,0.001
1000,235,0.0,0.001
1000,235,0.0,0.001
1000,235,0.0,0.001
1000,235,0.0,0.001
1000,235,0.0,0.001
1000,235,0.0,0.001
1000,235,0.0,0.001
1000,235,0.0,0.001
1000,235,0.0,0.001
10000,235,0.0,0.0001
10000,235,0.0,0.0001
10000,235,0.0,0.0001
10000,235,0.0,0.0001
10000,235,0.0,0.0001
10000,235,0.0,0.0001
10000,235,0.0,0.0001
10000,235,0.0,0.0001
10000,235,0.0,0.0001
10000,235,0.0,0.0001
100000,235,0.0,1e-05
100000,235,0.0,1e-05
100000,235,0.0,1e-05
100000,235,0.0,1e-05
100000,235,0.0,1e-05
100000,235,0.0,1e-05
100000,235,0.0,1e-05
100000,235,0.0,1e-05
100000,235,0.0,1e-05
100000,235,0.0,1e-05
100,240,0.0,0.01
100,240,0.0,0.01
100,240,0.0,0.01
100,240,0.0,0.01
100,240,0.0,0.01
100,240,0.0,0.01
100,240,0.0,0.01
100,240,0.0,0.01
100,240,0.0,0.01
100,240,0.0,0.01
1000,240,0.0,0.001
1000,240,0.0,0.001
1000,240,0.0,0.001
1000,240,0.0,0.001
1000,240,0.0,0.001
1000,240,0.0,0.001
1000,240,0.0,0.001
1000,240,0.0,0.001
1000,240,0.0,0.001
1000,240,0.0,0.001
10000,240,0.0,0.0001
10000,240,0.0,0.0001
10000,240,0.0,0.0001
10000,240,0.0,0.0001
10000,240,0.0,0.0001
10000,240,0.0,0.0001
10000,240,0.0,0.0001
10000,240,0.0,0.0001
10000,240,0.0,0.0001
10000,240,0.0,0.0001
100000,240,0.0,1e-05
100000,240,0.0,1e-05
100000,240,0.0,1e-05
100000,240,0.0,1e-05
100000,240,0.0,1e-05
100000,240,0.0,1e-05
100000,240,0.0,1e-05
100000,240,0.0,1e-05
100000,240,0.0,1e-05
100000,240,0.0,1e-05
100,245,0.0,0.01
100,245,0.0,0.01
100,245,0.0,0.01
100,245,0.0,0.01
100,245,0.0,0.01
100,245,0.0,0.01
100,245,0.0,0.01
100,245,0.0,0.01
100,245,0.0,0.01
100,245,0.0,0.01
1000,245,0.0,0.001
1000,245,0.0,0.001
1000,245,0.0,0.001
1000,245,0.0,0.001
1000,245,0.0,0.001
1000,245,0.0,0.001
1000,245,0.0,0.001
1000,245,0.0,0.001
1000,245,0.0,0.001
1000,245,0.0,0.001
10000,245,0.0,0.0001
10000,245,0.0,0.0001
10000,245,0.0,0.0001
10000,245,0.0,0.0001
10000,245,0.0,0.0001
10000,245,0.0,0.0001
10000,245,0.0,0.0001
10000,245,0.0,0.0001
10000,245,0.0,0.0001
10000,245,0.0,0.0001
100000,245,0.0,1e-05
100000,245,0.0,1e-05
100000,245,0.0,1e-05
100000,245,0.0,1e-05
100000,245,0.0,1e-05
100000,245,0.0,1e-05
100000,245,0.0,1e-05
100000,245,0.0,1e-05
100000,245,0.0,1e-05
100000,245,0.0,1e-05
100,250,0.0,0.01
100,250,0.0,0.01
100,250,0.0,0.01
100,250,0.0,0.01
100,250,0.0,0.01
100,250,0.0,0.01
100,250,0.0,0.01
100,250,0.0,0.01
100,250,0.0,0.01
100,250,0.0,0.01
1000,250,0.0,0.001
1000,250,0.0,0.001
1000,250,0.0,0.001
1000,250,0.0,0.001
1000,250,0.0,0.001
1000,250,0.0,0.001
1000,250,0.0,0.001
1000,250,0.0,0.001
1000,250,0.0,0.001
1000,250,0.0,0.001
10000,250,0.0,0.0001
10000,250,0.0,0.0001
10000,250,0.0,0.0001
10000,250,0.0,0.0001
10000,250,0.0,0.0001
10000,250,0.0,0.0001
10000,250,0.0,0.0001
10000,250,0.0,0.0001
10000,250,0.0,0.0001
10000,250,0.0,0.0001
100000,250,0.0,1e-05
100000,250,0.0,1e-05
100000,250,0.0,1e-05
100000,250,0.0,1e-05
100000,250,0.0,1e-05
100000,250,0.0,1e-05
100000,250,0.0,1e-05
100000,250,0.0,1e-05
100000,250,0.0,1e-05
100000,250,0.0,1e-05
100,255,0.0,0.01
100,255,0.0,0.01
100,255,0.0,0.01
100,255,0.0,0.01
100,255,0.0,0.01
100,255,0.0,0.01
100,255,0.0,0.01
100,255,0.0,0.01
100,255,0.0,0.01
100,255,0.0,0.01
1000,255,0.0,0.001
1000,255,0.0,0.001
1000,255,0.0,0.001
1000,255,0.0,0.001
1000,255,0.0,0.001
1000,255,0.0,0.001
1000,255,0.0,0.001
1000,255,0.0,0.001
1000,255,0.0,0.001
1000,255,0.0,0.001
10000,255,0.0,0.0001
10000,255,0.0,0.0001
10000,255,0.0,0.0001
10000,255,0.0,0.0001
10000,255,0.0,0.0001
10000,255,0.0,0.0001
10000,255,0.0,0.0001
10000,255,0.0,0.0001
10000,255,0.0,0.0001
10000,255,0.0,0.0001
100000,255,0.0,1e-05
100000,255,0.0,1e-05
100000,255,0.0,1e-05
100000,255,0.0,1e-05
100000,255,0.0,1e-05
100000,255,0.0,1e-05
100000,255,0.0,1e-05
100000,255,0.0,1e-05
100000,255,0.0,1e-05
